code,name,assigned smell
25G3(...),trees (with NAME),laurel
47B1714,other handicrafts ~ leather,leather
25G31(...),shrubs (with NAME),myrtle
25G4(...),plants and herbs (with NAME),mint
25G41(...),flowers (with NAME),orchid
25H213,river,tuberose
25D25,peat (soil type),peat
25G4(...),plants and herbs (with NAME),peonie
25G41(...),flowers (with NAME),daffodil
25D143,amber (fossil resin),resin
73B57,"adoration of the kings: the Wise Men present their gifts to the Christ-child (gold, frankincense and myrrh)",frankincense
26C,winds,nutmeg
26C,winds,cinnamon
26C,winds,cloves
26C,winds,lavender
26C,winds,marjoram
26C,winds,rosemary
26C,winds,ambergris
26C,winds,musk
26C,winds,civet
73B57,"adoration of the kings: the Wise Men present their gifts to the Christ-child (gold, frankincense and myrrh)",frankincense
73B57,"adoration of the kings: the Wise Men present their gifts to the Christ-child (gold, frankincense and myrrh)",myrrh
12A3121,the altar of burnt offering in Tabernacle ~ Jewish religion,Galbanum
12A3121,the altar of burnt offering in Tabernacle ~ Jewish religion,Frankincence
12A3121,the altar of burnt offering in Tabernacle ~ Jewish religion,Onycha
97AA1,"Daphne changed into a laurel-tree: while fleeing from Apollo, Daphne is changed into a laurel-tree by her father Peneus (Ovid, Metamorphoses I 548)",Laurel
92C4911,birth of Adonis: the tree splits open to release the baby; the Naiads take care of him,Myrrh
73E413,Christ blessing the apostles on the Mount of Olives,Olive tree
71C2441,"Esau, returning hungry from the hunt, sells his first birthright to Jacob for a pottage of lentils",lentils
11U1,"comprehensive representation of Last Judgement: Christ (with sword and lily), often surrounded by elders and sometimes accompanied by Mary and John the Baptist, appears in the sky with trumpeting angels (and sometimes angels holding the instruments of the Passion); after the resurrection of the dead the blessed are led to heaven by angels, and the damned are dragged into hell by devils",Lily
11U1,"comprehensive representation of Last Judgement: Christ (with sword and lily), often surrounded by elders and sometimes accompanied by Mary and John the Baptist, appears in the sky with trumpeting angels (and sometimes angels holding the instruments of the Passion); after the resurrection of the dead the blessed are led to heaven by angels, and the damned are dragged into hell by devils",indole
11HH(MYRRHOPHORES),the three (sometimes four) Maries together; possible attributes: jar of ointment,Myrrh
73D132,Christ's feet are anointed by Mary (Magdalene),Spikenard/nard-myrrh
71E1383,the making of the Tabernacle and its accessories ~ Exodus,fragrant spices
71E1383,the making of the Tabernacle and its accessories ~ Exodus,Galbanum
71E1383,the making of the Tabernacle and its accessories ~ Exodus,frankincence
71E1383,the making of the Tabernacle and its accessories ~ Exodus,gum resin (styrax)
71I432,temple of Solomon (1 Kings 5-9; 2 Chronicles 2-7),almug
71I432,temple of Solomon (1 Kings 5-9; 2 Chronicles 2-7),cedar
71I432,temple of Solomon (1 Kings 5-9; 2 Chronicles 2-7),pine
71I432,temple of Solomon (1 Kings 5-9; 2 Chronicles 2-7),sweet
11R7,'Vanitas' symbols,Frankincense
96A1821,Vertumnus and Pomona,plants and (fruit) trees
96A1821,Vertumnus and Pomona,orchard
96A1821,Vertumnus and Pomona,
25FF241,unicorn,cinnamon
11Q731112,incensation of the altar,frankincense
11Q731112,incensation of the altar,cinnamon
11Q731112,incensation of the altar,oil
11Q731112,incensation of the altar,myrrh
98C(CLEOPATRA)52,Cleopatra comes ashore at Tarsus on Mark Antony's summons,myrrh
98C(CLEOPATRA)52,Cleopatra comes ashore at Tarsus on Mark Antony's summons,cardamom
98C(CLEOPATRA)52,Cleopatra comes ashore at Tarsus on Mark Antony's summons,cinnamon
98C(CLEOPATRA)52,Cleopatra comes ashore at Tarsus on Mark Antony's summons,musk
71I331,the queen of Sheba comes to Solomon with a train of camels loaded with gifts,cinnamon
71I331,the queen of Sheba comes to Solomon with a train of camels loaded with gifts,myrrh
11HH(THERESA),"the foundress of the reformed (Discalced) Carmelites, T(h)eres(i)a of Avila; possible attributes: angel, arrow, dove, heart (flaming or pierced by an arrow)",acetone.acetoacetic acid from ketosis
11L112,the mystic mill; 'Hostienmühle',sack of grain
31A61,urination,Ammonia
92L5,(story of) Pan,Animalic; Musk
11T,hell and purgatory,Sulfur
11T,hell and purgatory,Smoke
11T,hell and purgatory,Excrement
13B3,"witches' sabbath, i.e. ceremonial gathering of witches and/or sorcerers",Sulfur
13B3,"witches' sabbath, i.e. ceremonial gathering of witches and/or sorcerers",Smoke
13B3,"witches' sabbath, i.e. ceremonial gathering of witches and/or sorcerers",He-goat
13B3,"witches' sabbath, i.e. ceremonial gathering of witches and/or sorcerers",Cooking
97AA4,"Myrrha changed into a myrtle-tree: when fleeing from her father's wrath, Myrrha is changed into a myrtle-tree (Ovid, Metamorphoses X 489)",Resinous: Myrrh
